QuestionID,Question,Answer,Document
Q1,How long can cooked chicken be stored in the fridge?,"Cooked chicken can be safely stored in the fridge for 3-4 days.",Food safety
Q2,How long does raw chicken last in the fridge?,"Raw chicken should only be kept in the fridge for 1-2 days.",Food safety
Q3,How long can you freeze meat for?,"Most meats can be frozen for 3-12 months depending on the cut and fat content.",Food storage
Q4,How do you defrost meat safely?,"The safest way is to defrost meat in the fridge. You can also use cold running water or the microwave.",Food safety
Q5,How long do eggs last?,"Eggs last 3-5 weeks in the fridge when stored properly in their carton.",Kitchen basics
Q6,What is the best way to cook pasta?,"Boil pasta in salted water for 8-12 minutes depending on shape and desired firmness.",Cooking techniques
Q7,How do I know when pasta is al dente?,"Pasta is al dente when it is firm with a slight bite in the center.",Cooking techniques
Q8,How long does rice take to cook?,"White rice takes 12-15 minutes and brown rice takes 35-45 minutes.",Cooking basics
Q9,How do I stop rice from sticking?,"Rinse the rice before cooking and avoid stirring while it cooks.",Cooking basics
Q10,How do I store cooked rice safely?,"Cool it quickly and store in the fridge for no more than 24 hours.",Food safety
Q11,How long can you keep leftovers?,"Most leftovers last 3-4 days in the fridge.",Food safety
Q12,How do I know if food has gone bad?,"Check for smell, texture change, mold, or off-color. When in doubt, throw it out.",Kitchen safety
Q13,What oil is best for frying?,"Vegetable, sunflower, or canola oil are best due to their high smoke points.",Cooking ingredients
Q14,How do I saute vegetables?,"Use medium-high heat, a little oil, and stir frequently until soft and lightly browned.",Cooking methods
Q15,How do you chop an onion properly?,"Cut the onion in half, peel, make horizontal and vertical cuts, then slice downward.",Knife skills
Q16,What is simmering?,"Simmering means cooking food in liquid just below boiling, around 85-95°C.",Heat control
Q17,What does marinating do?,"Marinating adds flavor and can tenderize meat depending on the ingredients.",Cooking techniques
Q18,How long should I marinate chicken?,"Chicken should be marinated for at least 30 minutes, ideally 2-4 hours.",Food prep
Q19,How do I bake a potato?,"Bake at 200°C for about 1 hour until soft inside and crisp outside.",Baking
Q20,What is the safest cutting board material?,"Plastic or bamboo boards are considered safest and easiest to sanitize.",Kitchen safety
Q21,How do I stop onions from making me cry?,"Chill the onion in the fridge before cutting and use a sharp knife.",Cooking tips
Q22,How do I thicken a sauce?,"You can use flour, cornstarch, reduction, or pureed vegetables.",Sauce making
Q23,What is deglazing?,"Deglazing means adding liquid to a hot pan to dissolve browned food bits.",Cooking techniques
Q24,How do I tell if chicken is cooked?,"Chicken is done when it reaches 75°C internally and juices run clear.",Food safety
Q25,How long do herbs last?,"Fresh herbs last 3-7 days in the fridge, depending on type.",Food storage
Q26,Whats the difference between baking soda and baking powder?,"Baking soda is pure sodium bicarbonate. Baking powder contains sodium bicarbonate plus acid salts.",Baking
Q27,Can you reheat rice?,"Yes, but it must be cooled quickly and reheated thoroughly to steaming hot.",Food safety
Q28,How do I scramble eggs?,"Whisk eggs, cook in butter on medium heat, stir gently, and stop when slightly soft.",Egg cooking
Q29,How do you fry an egg?,"Heat oil or butter, crack egg into pan, cook until whites set and yolk reaches desired firmness.",Egg cooking
Q30,What is the difference between boiling and simmering?,"Boiling is vigorous bubbling at 100°C; simmering is gentle bubbling below boiling.",Cooking terms
Q31,How do I make a roux?,"Cook equal parts flour and butter until lightly browned, then use to thicken sauces.",Sauce making
Q32,Whats the best way to cook vegetables?,"Steaming preserves nutrients, sautéing builds flavor, roasting adds caramelization.",Healthy cooking
Q33,How long does cheese last?,"Hard cheese lasts up to 6 weeks; soft cheese 1-2 weeks.",Food storage
Q34,How do I prevent food poisoning?,"Cook foods thoroughly, avoid cross-contamination, and refrigerate food promptly.",Kitchen safety
Q35,How long can milk sit out?,"Milk should not be left out for more than 2 hours.",Food safety
Q36,How long should I boil potatoes?,"Potatoes boil for 15-20 minutes until fork-tender.",Cooking basics
Q37,How do I make fluffy rice?,"Rinse rice, use a 2:1 water-to-rice ratio, simmer covered for 15 minutes, then rest 10 minutes.",Rice cooking
Q38,How long does bread last?,"Bread lasts 3-5 days at room temperature or up to 3 months frozen.",Food storage
Q39,How do I caramelize onions?,"Cook onions slowly on low heat with oil for 30-45 minutes until deeply brown.",Cooking techniques
Q40,What is blanching?,"Blanching means boiling food briefly then cooling in ice water to preserve color and texture.",Cooking methods
