text,intent,sub_intent
"hi",greeting,
"hello",greeting,
"hey there",greeting,
"hi there",greeting,
"yo",greeting,
"hiya",greeting,
"hello friend",greeting,
"good morning",greeting,
"good afternoon",greeting,
"good evening",greeting,
"hey!",greeting,
"greetings",greeting,
"hi again",greeting,
"good day",greeting,
"hey buddy",greeting,
"hello again",greeting,
"howdy",greeting,
"hey you",greeting,
"hi my friend",greeting,
"hey whats up",greeting,
"hi bot",greeting,
"hello there bot",greeting,
"hey assistant",greeting,
"morning",greeting,
"evening",greeting,
"afternoon",greeting,
"heya",greeting,
"sup bot",greeting,
"hello chatbot",greeting,
"greetings friend",greeting,

"how are you",small_talk,mood
"hows it going",small_talk,mood
"how are things",small_talk,mood
"you good",small_talk,mood
"are you doing okay",small_talk,mood
"hows your day",small_talk,mood
"everything alright",small_talk,mood
"how are you feeling today",small_talk,mood
"are you well",small_talk,mood
"sup",small_talk,mood
"whats up",small_talk,mood
"whats good",small_talk,mood
"are you okay",small_talk,mood
"hows life",small_talk,mood

"hows the weather",small_talk,weather
"whats the weather like",small_talk,weather
"tell me the weather",small_talk,weather
"hows the weather over there",small_talk,weather
"whats the forecast today",small_talk,weather
"do you know todays weather",small_talk,weather
"update me on the weather",small_talk,weather
"whats the weather report",small_talk,weather

"thanks",small_talk,thanks
"thank you",small_talk,thanks
"thanks a lot",small_talk,thanks
"thanks so much",small_talk,thanks
"appreciate it",small_talk,thanks
"thanks for the help",small_talk,thanks
"cheers",small_talk,thanks
"thanks buddy",small_talk,thanks
"many thanks",small_talk,thanks
"thank you again",small_talk,thanks
"that helps thanks",small_talk,thanks
"thanks for that",small_talk,thanks
"thank you so much",small_talk,thanks
"appreciate your help",small_talk,thanks

"what is my name",ask_user_name,
"do you know my name",ask_user_name,
"tell me my name",ask_user_name,
"whats my name",ask_user_name,
"do you remember my name",ask_user_name,
"who am I",ask_user_name,
"can you recall my name",ask_user_name,
"you forgot my name didnt you",ask_user_name,
"identify me",ask_user_name,
"what did I tell you my name was",ask_user_name,
"do you remember who I am",ask_user_name,
"do you know me",ask_user_name,
"remind me of my name",ask_user_name,
"say my name",ask_user_name,
"what name do you have for me",ask_user_name,
"what do you think my name is",ask_user_name,
"do I have a name in your memory",ask_user_name,
"tell me who I am again",ask_user_name,
"can you remember what Im called",ask_user_name,
"who am I to you",ask_user_name,
"my name please",ask_user_name,
"what do you call me",ask_user_name,
"you know my name right",ask_user_name,
"tell me what my name is",ask_user_name,
"can you tell me my name",ask_user_name,
"whats my name again",ask_user_name,
"do you have my name",ask_user_name,
"have you got my name",ask_user_name,
"what am I called",ask_user_name,
"remind me what Im called",ask_user_name,
"you remember my name",ask_user_name,
"do you know what I am called",ask_user_name,
"what name did I give you",ask_user_name,
"can you say my name",ask_user_name,
"have I told you my name",ask_user_name,
"my name is what",ask_user_name,
"tell me my name please",ask_user_name,
"what do you remember about my name",ask_user_name,
"do you still remember my name",ask_user_name,
"you should know my name",ask_user_name,
"whats my username",ask_user_name,
"what user name do I have",ask_user_name,
"tell me the name I gave",ask_user_name,
"remind me what I said my name was",ask_user_name,
"what name did I introduce myself with",ask_user_name,

"what is your name",ask_bot_name,
"what do I call you",ask_bot_name,
"who are you",ask_bot_name,
"do you have a name",ask_bot_name,
"can you tell me your name",ask_bot_name,
"I forgot your name",ask_bot_name,
"remind me your name",ask_bot_name,
"who am I speaking to",ask_bot_name,
"whos talking to me",ask_bot_name,
"what name do you use",ask_bot_name,
"tell me what you're called",ask_bot_name,
"whats your name again",ask_bot_name,
"how should I address you",ask_bot_name,
"do you go by a name",ask_bot_name,
"introduce yourself",ask_bot_name,
"what do you like to be called",ask_bot_name,
"say your name",ask_bot_name,
"who is this",ask_bot_name,
"do you have a proper name",ask_bot_name,
"what can I refer to you as",ask_bot_name,
"your name",ask_bot_name,
"tell me your name",ask_bot_name,
"what are you called",ask_bot_name,
"whats your name bot",ask_bot_name,
"what should I call you",ask_bot_name,
"who are you exactly",ask_bot_name,
"identify yourself",ask_bot_name,
"what is the name of this bot",ask_bot_name,
"bot name",ask_bot_name,
"chatbot name",ask_bot_name,
"assistant name",ask_bot_name,
"tell me who you are",ask_bot_name,
"you have a name",ask_bot_name,
"do you call yourself something",ask_bot_name,
"what name were you given",ask_bot_name,
"how do you call yourself",ask_bot_name,
"what do people call you",ask_bot_name,
"give me your name",ask_bot_name,
"state your name",ask_bot_name,
"what are they calling you",ask_bot_name,
"whats the bots name",ask_bot_name,
"whats the assistants name",ask_bot_name,
"tell me the bot name",ask_bot_name,
"what is this chatbot called",ask_bot_name,
"name of the bot",ask_bot_name,
"name of this assistant",ask_bot_name,
"what do they call this bot",ask_bot_name,
"how is this bot named",ask_bot_name,
"tell me about yourself",ask_bot_name,
"whats your bot name",ask_bot_name,
"give me the bots name",ask_bot_name,
"you are who",ask_bot_name,
"you are called what",ask_bot_name,
"what is the chatbot name",ask_bot_name,

"what can you do",capabilities,
"what are your abilities",capabilities,
"how can you help me",capabilities,
"can you help me please",capabilities,
"what are you able to do",capabilities,
"what do you do",capabilities,
"what is your purpose",capabilities,
"how do you work",capabilities,
"explain your functions",capabilities,
"how do you assist users",capabilities,
"what tasks can you do",capabilities,
"i need help",capabilities,
"please help me out",capabilities,
"help me out",capabilities,
"how can you assist me",capabilities,
"what's your skillset",capabilities,
